,date,Us,Eu,Ch,Kr,Tw
97,2019-03-29 00:40:01,117.476,174.125,179.882,217.678,256.145
98,2019-03-29 01:00:01,117.195,176.078,181.405,216.248,256.177
99,2019-03-29 01:20:02,117.00200000000001,176.078,183.02200000000002,215.782,256.91700000000003
100,2019-03-29 01:40:01,116.98200000000001,177.016,184.722,216.665,260.052
101,2019-03-29 02:00:02,117.00200000000001,177.827,186.497,217.69799999999998,260.052
102,2019-03-29 02:20:01,117.08,178.426,188.27700000000002,218.827,261.263
103,2019-03-29 02:40:01,117.139,178.987,189.928,220.053,262.02299999999997
104,2019-03-29 03:00:02,117.40899999999999,179.74400000000003,191.21599999999998,220.542,262.545
105,2019-03-29 03:20:01,117.62700000000001,179.74400000000003,192.27900000000002,221.07,263.059
106,2019-03-29 03:40:02,117.87299999999999,179.886,193.153,221.82,263.467
107,2019-03-29 04:00:01,118.01899999999999,180.115,193.16,222.942,263.964
108,2019-03-29 04:20:02,118.07700000000001,180.24900000000002,193.78400000000002,224.65900000000002,264.462
109,2019-03-29 04:40:01,118.075,180.317,193.94299999999998,226.352,265.09
110,2019-03-29 05:00:01,118.071,180.49400000000003,193.59400000000002,228.165,265.034
111,2019-03-29 05:20:01,118.11200000000001,180.49400000000003,192.19799999999998,230.267,264.978
112,2019-03-29 05:40:01,118.14200000000001,180.673,190.738,232.446,264.923
113,2019-03-29 06:00:01,118.189,180.87,189.15599999999998,234.645,265.199
114,2019-03-29 06:20:02,118.178,181.054,187.524,236.726,265.531
115,2019-03-29 06:40:02,118.161,181.144,185.887,238.845,265.531
116,2019-03-29 07:00:01,118.185,180.785,184.262,241.206,265.476
117,2019-03-29 07:20:01,118.4,180.329,182.78099999999998,243.618,265.16700000000003
118,2019-03-29 07:40:02,118.584,179.78099999999998,181.72299999999998,246.054,265.16700000000003
119,2019-03-29 08:00:01,118.795,178.84099999999998,180.889,248.515,265.089
120,2019-03-29 08:20:01,119.001,178.84099999999998,180.894,251.0,265.078
121,2019-03-29 08:40:02,119.23100000000001,178.41,181.27200000000002,253.51,265.24
122,2019-03-29 09:00:01,119.43299999999999,176.93200000000002,181.829,255.58700000000002,265.513
123,2019-03-29 09:20:01,119.604,176.93200000000002,182.013,257.04,265.897
124,2019-03-29 09:40:01,119.79299999999999,176.115,182.12599999999998,258.995,265.952
125,2019-03-29 10:00:01,120.061,175.472,182.467,260.922,265.741
126,2019-03-29 10:20:01,120.25299999999999,174.887,182.352,262.733,265.574
127,2019-03-29 10:40:01,120.486,173.97799999999998,182.268,264.845,264.965
128,2019-03-29 11:00:01,120.745,173.97799999999998,182.329,267.041,264.534
129,2019-03-29 11:20:01,121.04799999999999,173.747,182.343,269.344,263.817
130,2019-03-29 11:40:01,121.307,173.44099999999997,182.864,271.454,263.277
131,2019-03-29 12:00:01,121.48,173.44099999999997,182.864,272.11,263.089
132,2019-03-29 12:20:02,121.46700000000001,173.12900000000002,183.88400000000001,272.04200000000003,263.033
133,2019-03-29 12:40:01,121.47399999999999,172.355,184.26,272.116,263.019
134,2019-03-29 13:00:01,121.51799999999999,172.355,184.606,272.394,262.873
135,2019-03-29 13:20:02,121.632,171.543,185.37599999999998,272.014,262.399
136,2019-03-29 13:40:01,121.805,171.28,186.225,271.154,261.202
137,2019-03-29 14:00:02,121.994,171.28,187.183,270.47700000000003,259.995
138,2019-03-29 14:20:02,122.09100000000001,171.3,187.925,270.14,259.995
139,2019-03-29 14:40:01,122.12899999999999,171.46400000000003,188.255,269.096,260.585
140,2019-03-29 15:00:02,121.771,171.984,188.25099999999998,267.742,261.589
141,2019-03-29 15:20:01,121.266,172.704,187.94299999999998,267.318,262.27
142,2019-03-29 15:40:01,120.852,173.217,187.43200000000002,266.226,262.366
143,2019-03-29 16:00:01,120.294,173.273,186.75400000000002,264.916,262.41900000000004
144,2019-03-29 16:20:02,119.85600000000001,173.343,186.407,263.30400000000003,262.34
145,2019-03-29 16:40:01,119.307,173.343,186.174,261.438,262.043
146,2019-03-29 17:00:01,118.87200000000001,173.058,185.993,259.117,261.438
147,2019-03-29 17:20:01,118.345,171.83700000000002,185.755,256.83799999999997,260.813
148,2019-03-29 17:40:01,117.811,171.83700000000002,185.398,254.695,260.515
149,2019-03-29 18:00:01,117.37200000000001,171.41099999999997,184.583,252.34900000000002,259.862
150,2019-03-29 18:20:01,117.046,171.18200000000002,183.75,250.024,259.449
151,2019-03-29 18:40:02,116.76299999999999,171.18200000000002,183.157,247.679,259.036
152,2019-03-29 19:00:01,116.676,171.274,182.668,245.488,258.974
153,2019-03-29 19:20:01,117.053,172.985,182.291,243.21400000000003,258.848
154,2019-03-29 19:40:02,117.721,172.985,181.80900000000003,241.083,259.153
155,2019-03-29 20:00:01,118.46600000000001,173.412,181.378,238.91,259.33099999999996
